Date : 2023-04-14 12:25:57
Directory : /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet
Total : 113 files,  11491 codes, 109 comments, 920 blanks, all 12520 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/types/general.ts                                   | TypeScript         |        212 |          1 |         16 |        229 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/types/graph.ts                                     | TypeScript         |         80 |          0 |         11 |         91 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/types/index.ts                                     | TypeScript         |         11 |          0 |          1 |         12 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/types/key.ts                                       | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/types/keypress.ts                                  | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/types/node.ts                                      | TypeScript         |         77 |          3 |          7 |         87 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/types/parser.ts                                    | TypeScript         |         19 |          0 |          4 |         23 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/types/store.ts                                     | TypeScript         |         22 |          0 |          3 |         25 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/adders/populateStore.ts                      | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/calculators/calculateBounds.ts               | TypeScript         |         22 |          0 |          5 |         27 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/calculators/calculateFitContent.ts           | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/calculators/calculateRelativeCursor.ts       | TypeScript         |         24 |          0 |          7 |         31 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/calculators/calculateStepPath.ts             | TypeScript         |         77 |          0 |         12 |         89 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/calculators/calculateTranslation.ts          | TypeScript         |         17 |          3 |          5 |         25 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/calculators/calculateZoom.ts                 | TypeScript         |          6 |          0 |          3 |          9 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/calculators/index.ts                         | TypeScript         |          6 |          0 |          1 |          7 |
